Name of Earth Meteorite,id,Meteorite,nametype,recclass,mass,year,reclat,reclong,point coordinates
Aachen,1,Valid,L5,,1880-01-01T00:00:00.000,50.775000,6.083330,"[6.08333, 50.775]"
Aarhus,2,Valid,H6,,1951-01-01T00:00:00.000,56.183330,10.233330,"[10.23333, 56.18333]"
Abee,6,Valid,EH4,,1952-01-01T00:00:00.000,54.216670,-113.000000,"[-113, 54.21667]"
Acapulco,10,Valid,Acapulcoite,,1976-01-01T00:00:00.000,16.883330,-99.900000,"[-99.9, 16.88333]"
Achiras,370,Valid,L6,,1902-01-01T00:00:00.000,-33.166670,-64.950000,"[-64.95, -33.16667]"
Adhi Kot,379,Valid,EH4,,1919-01-01T00:00:00.000,32.100000,71.800000,"[71.8, 32.1]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,,1949-01-01T00:00:00.000,44.833330,95.166670,"[95.16667, 44.83333]"
Agen,392,Valid,H5,,1814-01-01T00:00:00.000,44.216670,0.616670,"[0.61667, 44.21667]"
Aguada,398,Valid,L6,,1930-01-01T00:00:00.000,-31.600000,-65.233330,"[-65.23333, -31.6]"
Aguila Blanca,417,Valid,L,,1920-01-01T00:00:00.000,-30.866670,-64.550000,"[-64.55, -30.86667]"
Aioun el Atrouss,423,Valid,Diogenite-pm,,1974-01-01T00:00:00.000,16.398060,-9.570280,"[-9.57028, 16.39806]"
Aïr,424,Valid,L6,,1925-01-01T00:00:00.000,19.083330,8.383330,"[8.38333, 19.08333]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.666670,2.333330,"[2.33333, 50.66667]"
Akaba,426,Valid,L6,,1949-01-01T00:00:00.000,29.516670,35.050000,"[35.05, 29.51667]"
Akbarpur,427,Valid,H4,,1838-01-01T00:00:00.000,29.716670,77.950000,"[77.95, 29.71667]"
Akwanga,432,Valid,H,,1959-01-01T00:00:00.000,8.916670,8.433330,"[8.43333, 8.91667]"
Akyumak,433,Valid,"Iron, IVA",,1981-01-01T00:00:00.000,39.916670,42.816670,"[42.81667, 39.91667]"
Al Rais,446,Valid,CR2-an,,1957-01-01T00:00:00.000,24.416670,39.516670,"[39.51667, 24.41667]"
Al Zarnkh,447,Valid,LL5,,2001-01-01T00:00:00.000,13.660330,28.960000,"[28.96, 13.66033]"
Alais,448,Valid,CI1,,1806-01-01T00:00:00.000,44.116670,4.083330,"[4.08333, 44.11667]"
Albareto,453,Valid,L/LL4,,1766-01-01T00:00:00.000,44.650000,11.016670,"[11.01667, 44.65]"
Alberta,454,Valid,L,,1949-01-01T00:00:00.000,2.000000,22.666670,"[22.66667, 2]"
Alby sur Chéran,458,Valid,Eucrite-mmict,,2002-01-01T00:00:00.000,45.821330,6.015330,"[6.01533, 45.82133]"
Aldsworth,461,Valid,LL5,,1835-01-01T00:00:00.000,51.783330,-1.783330,"[-1.78333, 51.78333]"
Aleppo,462,Valid,L6,,1873-01-01T00:00:00.000,36.233330,37.133330,"[37.13333, 36.23333]"
Alessandria,463,Valid,H5,,1860-01-01T00:00:00.000,44.883330,8.750000,"[8.75, 44.88333]"
Alexandrovsky,465,Valid,H4,,1900-01-01T00:00:00.000,50.950000,31.816670,"[31.81667, 50.95]"
Alfianello,466,Valid,L6,,1883-01-01T00:00:00.000,45.266670,10.150000,"[10.15, 45.26667]"
Allegan,2276,Valid,H5,,1899-01-01T00:00:00.000,42.533330,-85.883330,"[-85.88333, 42.53333]"
Allende,2278,Valid,CV3,,1969-01-01T00:00:00.000,26.966670,-105.316670,"[-105.31667, 26.96667]"
Almahata Sitta,48915,Valid,Ureilite-an,,2008-01-01T00:00:00.000,20.745750,32.412750,"[32.41275, 20.74575]"
Alta'ameem,2284,Valid,LL5,,1977-01-01T00:00:00.000,35.273330,44.215560,"[44.21556, 35.27333]"
Ambapur Nagla,2290,Valid,H5,,1895-01-01T00:00:00.000,27.666670,78.250000,"[78.25, 27.66667]"
Andhara,2294,Valid,Stone-uncl,,1880-01-01T00:00:00.000,26.583330,85.566670,"[85.56667, 26.58333]"
Andover,2295,Valid,L6,,1898-01-01T00:00:00.000,44.616670,-70.750000,"[-70.75, 44.61667]"
Andreevka,2296,Valid,L3,,1969-01-01T00:00:00.000,48.700000,37.500000,"[37.5, 48.7]"
Andura,2298,Valid,H6,,1939-01-01T00:00:00.000,20.883330,76.866670,"[76.86667, 20.88333]"
Northwest Africa 5815,50693,Valid,L5,,,0.000000,0.000000,"[0, 0]"
Angers,2301,Valid,L6,,1822-01-01T00:00:00.000,47.466670,-0.550000,"[-0.55, 47.46667]"
Angra dos Reis (stone),2302,Valid,Angrite,,1869-01-01T00:00:00.000,-22.966670,-44.316670,"[-44.31667, -22.96667]"
Ankober,2304,Valid,H4,,1942-01-01T00:00:00.000,9.533330,39.716670,"[39.71667, 9.53333]"
Anlong,2305,Valid,H5,,1971-01-01T00:00:00.000,25.150000,105.183330,"[105.18333, 25.15]"
Aomori,2313,Valid,L6,,1984-01-01T00:00:00.000,40.810560,140.785560,"[140.78556, 40.81056]"
Appley Bridge,2318,Valid,LL6,,1914-01-01T00:00:00.000,53.583330,-2.716670,"[-2.71667, 53.58333]"
Apt,2320,Valid,L6,,1803-01-01T00:00:00.000,43.866670,5.383330,"[5.38333, 43.86667]"
Arbol Solo,2325,Valid,H5,,1954-01-01T00:00:00.000,-33.000000,-66.000000,"[-66, -33]"
Archie,2329,Valid,H6,,1932-01-01T00:00:00.000,38.500000,-94.300000,"[-94.3, 38.5]"
Arroyo Aguiar,2340,Valid,H5,,1950-01-01T00:00:00.000,-31.416670,-60.666670,"[-60.66667, -31.41667]"
Asco,2345,Valid,H6,,1805-01-01T00:00:00.000,42.450000,9.033330,"[9.03333, 42.45]"
Ash Creek,48954,Valid,L6,,2009-01-01T00:00:00.000,31.805000,-97.010000,"[-97.01, 31.805]"
Ashdon,2346,Valid,L6,,1923-01-01T00:00:00.000,52.050000,0.300000,"[0.3, 52.05]"
Assisi,2353,Valid,H5,,1886-01-01T00:00:00.000,43.033330,12.550000,"[12.55, 43.03333]"
Atarra,4883,Valid,L4,,1920-01-01T00:00:00.000,25.254170,80.625000,"[80.625, 25.25417]"
Atemajac,4884,Valid,L6,,1896-01-01T00:00:00.000,20.066670,-103.666670,"[-103.66667, 20.06667]"
Athens,4885,Valid,LL6,,1933-01-01T00:00:00.000,34.750000,-87.000000,"[-87, 34.75]"
Atoka,4888,Valid,L6,,1945-01-01T00:00:00.000,34.316670,-96.150000,"[-96.15, 34.31667]"
Aubres,4893,Valid,Aubrite,,1836-01-01T00:00:00.000,44.383330,5.166670,"[5.16667, 44.38333]"
Aumale,4899,Valid,L6,,1865-01-01T00:00:00.000,36.166670,3.666670,"[3.66667, 36.16667]"
Aumieres,4900,Valid,L6,,1842-01-01T00:00:00.000,44.333330,3.233330,"[3.23333, 44.33333]"
Ausson,4903,Valid,L5,,1858-01-01T00:00:00.000,43.083330,0.583330,"[0.58333, 43.08333]"
Avanhandava,4905,Valid,H4,,1952-01-01T00:00:00.000,-21.460280,-49.950830,"[-49.95083, -21.46028]"
Avce,4906,Valid,"Iron, IIAB",,1908-01-01T00:00:00.000,46.000000,13.500000,"[13.5, 46]"
Avilez,4907,Valid,H,,1855-01-01T00:00:00.000,25.000000,-103.500000,"[-103.5, 25]"
Awere,4910,Valid,L4,,1968-01-01T00:00:00.000,2.716670,32.833330,"[32.83333, 2.71667]"
Aztec,4913,Valid,L6,,1938-01-01T00:00:00.000,36.800000,-108.000000,"[-108, 36.8]"
Bachmut,4917,Valid,L6,,1814-01-01T00:00:00.000,48.600000,38.000000,"[38, 48.6]"
Bahjoi,4922,Valid,"Iron, IAB-sLL",,1934-01-01T00:00:00.000,28.483330,78.500000,"[78.5, 28.48333]"
Bald Mountain,4925,Valid,L4,,1929-01-01T00:00:00.000,35.966670,-82.483330,"[-82.48333, 35.96667]"
Baldwyn,4926,Valid,L6,,1922-01-01T00:00:00.000,34.500000,-88.666670,"[-88.66667, 34.5]"
Bali,4928,Valid,CV3,,1907-01-01T00:00:00.000,5.383330,16.383330,"[16.38333, 5.38333]"
Ban Rong Du,4934,Valid,"Iron, ungrouped",,1993-01-01T00:00:00.000,16.666670,101.183330,"[101.18333, 16.66667]"
Bandong,4935,Valid,LL6,,1871-01-01T00:00:00.000,-6.916670,107.600000,"[107.6, -6.91667]"
Bansur,4936,Valid,L6,,1892-01-01T00:00:00.000,27.700000,76.333330,"[76.33333, 27.7]"
Banswal,4937,Valid,L5,,1913-01-01T00:00:00.000,30.400000,78.200000,"[78.2, 30.4]"
Banten,4938,Valid,CM2,,1933-01-01T00:00:00.000,-6.333330,106.000000,"[106, -6.33333]"
Barbotan,4942,Valid,H5,,1790-01-01T00:00:00.000,43.950000,-0.050000,"[-0.05, 43.95]"
Barcelona (stone),4944,Valid,OC,,1704-01-01T00:00:00.000,41.366670,2.166670,"[2.16667, 41.36667]"
Barea,4946,Valid,Mesosiderite-A1,,1842-01-01T00:00:00.000,42.383330,-2.500000,"[-2.5, 42.38333]"
Barnaul,4947,Valid,H5,,1904-01-01T00:00:00.000,52.733330,84.083330,"[84.08333, 52.73333]"
Barntrup,4948,Valid,LL4,,1886-01-01T00:00:00.000,52.000000,9.100000,"[9.1, 52]"
Baroti,4949,Valid,L6,,1910-01-01T00:00:00.000,31.616670,76.800000,"[76.8, 31.61667]"
Barwell,4954,Valid,L5,,1965-01-01T00:00:00.000,52.565280,-1.339720,"[-1.33972, 52.56528]"
Bassikounou,44876,Valid,H5,,2006-01-01T00:00:00.000,15.783330,-5.900000,"[-5.9, 15.78333]"
Baszkówka,4957,Valid,L5,,1994-01-01T00:00:00.000,52.033330,20.935830,"[20.93583, 52.03333]"
Bath,4974,Valid,H4,,1892-01-01T00:00:00.000,45.416670,-98.316670,"[-98.31667, 45.41667]"
Bath Furnace,4975,Valid,L6,,1902-01-01T00:00:00.000,38.250000,-83.750000,"[-83.75, 38.25]"
Battle Mountain,56133,Valid,L6,,2012-01-01T00:00:00.000,40.668130,-117.189130,"[-117.18913, 40.66813]"
Bawku,4976,Valid,LL5,,1989-01-01T00:00:00.000,11.083330,-0.183330,"[-0.18333, 11.08333]"
Baxter,4977,Valid,L6,,1916-01-01T00:00:00.000,36.750000,-93.500000,"[-93.5, 36.75]"
Beardsley,4984,Valid,H5,,1929-01-01T00:00:00.000,39.800000,-101.200000,"[-101.2, 39.8]"
Beaver Creek,4986,Valid,H5,,1893-01-01T00:00:00.000,51.166670,-117.333330,"[-117.33333, 51.16667]"
Beddgelert,4993,Valid,H5,,1949-01-01T00:00:00.000,53.016670,-4.100000,"[-4.1, 53.01667]"
Bells,5005,Valid,C2-ung,,1961-01-01T00:00:00.000,33.600000,-96.466670,"[-96.46667, 33.6]"
Belville,5009,Valid,OC,,1937-01-01T00:00:00.000,-32.333330,-64.866670,"[-64.86667, -32.33333]"
Benares (a),5011,Valid,LL4,,1798-01-01T00:00:00.000,25.366670,82.916670,"[82.91667, 25.36667]"
Benguerir,30443,Valid,LL6,,2004-01-01T00:00:00.000,32.250000,-8.150000,"[-8.15, 32.25]"
Beni M'hira,5018,Valid,L6,,2001-01-01T00:00:00.000,32.866670,10.800000,"[10.8, 32.86667]"
Benld,5021,Valid,H6,,1938-01-01T00:00:00.000,39.083330,-89.150000,"[-89.15, 39.08333]"
Benoni,5023,Valid,H6,,1943-01-01T00:00:00.000,-26.166670,28.416670,"[28.41667, -26.16667]"
Bensour,5024,Valid,LL6,,2002-01-01T00:00:00.000,30.000000,-7.000000,"[-7, 30]"
Benton,5026,Valid,LL6,,1949-01-01T00:00:00.000,45.950000,-67.550000,"[-67.55, 45.95]"
Berduc,48975,Valid,L6,,2008-01-01T00:00:00.000,-31.910000,-58.328330,"[-58.32833, -31.91]"
Béréba,5028,Valid,Eucrite-mmict,,1924-01-01T00:00:00.000,11.650000,-3.650000,"[-3.65, 11.65]"
Berlanguillas,5029,Valid,L6,,1811-01-01T00:00:00.000,41.683330,-3.800000,"[-3.8, 41.68333]"
Berthoud,47355,Valid,Eucrite-mmict,,2004-01-01T00:00:00.000,40.305830,-105.023250,"[-105.02325, 40.30583]"
Bethlehem,5032,Valid,H,,1859-01-01T00:00:00.000,42.533330,-73.833330,"[-73.83333, 42.53333]"
Beuste,5034,Valid,L5,,1859-01-01T00:00:00.000,43.216670,-0.233330,"[-0.23333, 43.21667]"
Beyrout,5035,Valid,LL3.8,,1921-01-01T00:00:00.000,33.883330,35.500000,"[35.5, 33.88333]"
Bhagur,5037,Valid,L6,,1877-01-01T00:00:00.000,20.883330,74.833330,"[74.83333, 20.88333]"
Bhawad,36591,Valid,LL6,,2002-01-01T00:00:00.000,26.508330,73.115280,"[73.11528, 26.50833]"
Bherai,5039,Valid,L6,,1893-01-01T00:00:00.000,20.833330,71.466670,"[71.46667, 20.83333]"
Bhola,5040,Valid,LL3-6,,1940-01-01T00:00:00.000,22.683330,90.650000,"[90.65, 22.68333]"
Bholghati,5041,Valid,Howardite,,1905-01-01T00:00:00.000,22.083330,86.900000,"[86.9, 22.08333]"
Bialystok,5042,Valid,Eucrite-pmict,,1827-01-01T00:00:00.000,53.100000,23.200000,"[23.2, 53.1]"
Bielokrynitschie,5043,Valid,H4,,1887-01-01T00:00:00.000,50.133330,27.166670,"[27.16667, 50.13333]"
Bilanga,5045,Valid,Diogenite,,1999-01-01T00:00:00.000,12.450000,-0.083330,"[-0.08333, 12.45]"
Binningup,5051,Valid,H5,,1984-01-01T00:00:00.000,-33.156390,115.676390,"[115.67639, -33.15639]"
Birni N'konni,5056,Valid,H4,,1923-01-01T00:00:00.000,13.766670,5.300000,"[5.3, 13.76667]"
Bishopville,5059,Valid,Aubrite,,1843-01-01T00:00:00.000,34.166670,-80.283330,"[-80.28333, 34.16667]"
Bishunpur,5060,Valid,LL3.15,,1895-01-01T00:00:00.000,25.383330,82.600000,"[82.6, 25.38333]"
Bjelaja Zerkov,5063,Valid,H6,,1796-01-01T00:00:00.000,49.783330,30.166670,"[30.16667, 49.78333]"
Bjurböle,5064,Valid,L/LL4,,1899-01-01T00:00:00.000,60.400000,25.800000,"[25.8, 60.4]"
Black Moshannan Park,5065,Valid,L5,,1941-01-01T00:00:00.000,40.916670,-78.083330,"[-78.08333, 40.91667]"
Blackwell,5068,Valid,L5,,1906-01-01T00:00:00.000,36.833330,-97.333330,"[-97.33333, 36.83333]"
Blanket,5071,Valid,L6,,1909-01-01T00:00:00.000,31.833330,-98.833330,"[-98.83333, 31.83333]"
Blansko,5072,Valid,H6,,1833-01-01T00:00:00.000,49.366670,16.633330,"[16.63333, 49.36667]"
Bloomington,5076,Valid,LL6,,1938-01-01T00:00:00.000,40.480000,-89.004170,"[-89.00417, 40.48]"
Bo Xian,5090,Valid,LL3.9,,1977-01-01T00:00:00.000,33.833330,115.833330,"[115.83333, 33.83333]"
Bocas,5093,Valid,L6,,1804-01-01T00:00:00.000,23.000000,-102.000000,"[-102, 23]"
Bogou,5097,Valid,"Iron, IAB-MG",,1962-01-01T00:00:00.000,12.500000,0.700000,"[0.7, 12.5]"
Boguslavka,5098,Valid,"Iron, IIAB",,1916-01-01T00:00:00.000,44.550000,131.633330,"[131.63333, 44.55]"
Borgo San Donino,5110,Valid,LL6,,1808-01-01T00:00:00.000,44.866670,10.050000,"[10.05, 44.86667]"
Bori,5111,Valid,L6,,1894-01-01T00:00:00.000,21.950000,78.033330,"[78.03333, 21.95]"
Boriskino,5112,Valid,CM2,,1930-01-01T00:00:00.000,54.233330,52.483330,"[52.48333, 54.23333]"
Borkut,5113,Valid,L5,,1852-01-01T00:00:00.000,48.150000,24.283330,"[24.28333, 48.15]"
Borodino,5114,Valid,H5,,1812-01-01T00:00:00.000,55.466670,35.866670,"[35.86667, 55.46667]"
Botschetschki,5117,Valid,L4,,1823-01-01T00:00:00.000,51.333330,33.883330,"[33.88333, 51.33333]"
Boumdeid (2003),57168,Valid,L6,,2003-01-01T00:00:00.000,17.710670,-11.371500,"[-11.3715, 17.71067]"
Boumdeid (2011),57167,Valid,L6,,2011-01-01T00:00:00.000,17.174930,-11.341330,"[-11.34133, 17.17493]"
Bovedy,5121,Valid,L3,,1969-01-01T00:00:00.000,54.566670,-6.333330,"[-6.33333, 54.56667]"
Bradford Woods,5128,Valid,L,,1886-01-01T00:00:00.000,40.500000,-80.083330,"[-80.08333, 40.5]"
Braunau,5133,Valid,"Iron, IIAB",,1847-01-01T00:00:00.000,50.600000,16.300000,"[16.3, 50.6]"
Breitscheid,5134,Valid,H5,,1956-01-01T00:00:00.000,50.666940,8.183610,"[8.18361, 50.66694]"
Bremervörde,5135,Valid,H/L3.9,,1855-01-01T00:00:00.000,53.400000,9.100000,"[9.1, 53.4]"
Brient,5140,Valid,Eucrite-pmict,,1933-01-01T00:00:00.000,52.133330,59.316670,"[59.31667, 52.13333]"
Bruderheim,5156,Valid,L6,,1960-01-01T00:00:00.000,53.900000,-112.883330,"[-112.88333, 53.9]"
Bukhara,30448,Valid,CV3,,2001-01-01T00:00:00.000,39.779780,64.600350,"[64.60035, 39.77978]"
